OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(test_y),exp(y_pred)
44,134,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0,4.92725368515721,7.02019070831193,16.1126942898358,14.3443848034389,9946132,1697020.80402812
5,126,한국,(주)쇼박스,범죄,15세이상관람가,0,6.60800062529609,10.7555810383651,16.0875428308447,15.6512664937547,9699091.99999999,6269871.97508982
37,139,한국,(주)쇼박스,사극,15세이상관람가,0,7.36897040219479,0,16.0275784265702,15.5713979870408,9134586,5788582.41963986
17,130,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,8.08948247436075,0,16.0128805691689,15.6903838636255,9001309.00000001,6519993.02179565
31,125,한국,씨제이이앤엠(주),SF,15세이상관람가,0,8.37101068123816,0,16.0032284227009,15.6073335903014,8914844.99999999,6000381.39077554
17,147,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,7.03966034986208,10.9242103692095,15.976215100918,15.9082497870554,8677249,8107091.95891608
4,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,7.3004728142678,0,15.9738091431572,15.6197704123199,8656397,6075473.04907544
32,129,한국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세이상관람가,1,7.41276401742656,8.50532301884575,15.972695010966,15.3108666344656,8646758,4460924.70054015
3,125,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.41836493593621,9.19816657104447,15.8718684607111,15.3343198869418,7817446,4566784.41882423
26,152,미국,씨제이이앤엠(주),액션,12세이상관람가,1,7.49609734517596,0,15.8676845716777,15.4932656992854,7784806.99999999,5353524.565688
51,127,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,6.30261897574491,9.52464003233223,15.8644249774821,15.5196229404373,7759473,5496504.70740362
50,132,미국,씨제이이앤엠(주),액션,15세이상관람가,1,5.74939298590825,0,15.8404825821858,15.1561263834791,7575899.00000001,3821396.09411683
36,139,한국,워너브러더스 코리아(주),액션,15세이상관람가,0,6.0913098820777,9.54652685348758,15.8287515314045,15.376393530284,7487545,4763025.00820192
32,122,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0,6.13339804299665,0,15.8260006558704,15.1733182241554,7466976,3887660.90184569
18,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,1,6.24222326545517,0,15.8073250786391,15.1488361110238,7328820,3793638.37902301
27,133,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1,6.12686918411419,9.63135069141981,15.7976111467152,15.3996533297152,7257973,4875110.50434557
52,129,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,7.1066061377273,9.53798807237101,15.7939761244916,15.4551274219259,7231637.99999999,5153194.75933447
5,120,한국,씨제이이앤엠(주),액션,15세이상관람가,0,7.12125245324454,0,15.7848859464866,15.407699514938,7166199,4914494.78055418
51,142,한국,씨제이이앤엠(주),액션,15세이상관람가,0,7.20563517641036,9.83472679696534,15.7826985761435,15.7317694006651,7150541,6795487.86520205
32,126,한국,(주)쇼박스,드라마,12세이상관람가,0,6.30078579466324,9.55761123583962,15.7782205110235,15.2565590164234,7118592,4225123.36187195
17,142,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,7.13727843726039,0,15.7720592027303,15.6357687244955,7074867,6173452.02286579
47,130,한국,(주)쇼박스,범죄,청소년관람불가,0,7.1770187659099,9.4090272828564,15.7716203702946,15.2412074812298,7071763.00000001,4160756.56059605
30,110,한국,씨제이이앤엠(주),전쟁,12세이상관람가,0,7.63191651307125,10.4721197133981,15.7684875352084,15.1902902942035,7049643,3954205.65878285
41,112,한국,(주)쇼박스,코미디,15세이상관람가,0,7.67042852219069,9.66567442723748,15.7565095240217,15.049439187573,6965706,3434696.71640431
23,123,한국,(주)쇼박스,액션,15세이상관람가,0,9.46343099965834,0,15.7547988307107,15.3013485888597,6953800,4418666.84093567
19,156,한국,이십세기폭스코리아(주),미스터리,15세이상관람가,0,6.69208374250663,9.65310126482804,15.7438768524887,15.2555154511281,6878264,4220716.46960322
40,121,한국,메가박스중앙(주)플러스엠,범죄,청소년관람불가,0,7.09672137849476,8.93155196669452,15.739948535381,15.0248142263055,6851297,3351150.3278445
44,124,한국,씨제이이앤엠(주),멜로,15세이상관람가,0,7.06133436691044,0,15.7108545166489,14.9610535263573,6654837,3144148.06647551
30,132,한국,씨제이이앤엠(주),액션,15세이상관람가,0,8.12148037475075,11.4903730604997,15.7013902568625,15.6976094260863,6592151,6567274.24964352
30,147,미국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,1,5.17614973257383,7.24636808010246,15.7002919849517,15.1484578797052,6584915,3792203.77749951
29,164,미국,워너브러더스 코리아(주),액션,15세이상관람가,1,7.49609734517596,0,15.6712659011235,15.3399732687515,6396528,4592675.31137912
31,119,한국,씨제이엔터테인먼트,액션,청소년관람불가,0,6.4393503711001,0,15.6533221606602,15.1274380235157,6282774,3713324.12323991
38,125,한국,(주)쇼박스,사극,12세이상관람가,0,6.32076829425058,10.0194467037037,15.6475877345812,15.2911123759132,6246849,4373667.13243372
31,131,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,1,6.01126717440416,9.06253617720779,15.6281322236657,14.947021943919,6126488,3100338.76934646
7,128,미국,이십세기폭스코리아(주),액션,청소년관람불가,1,5.12396397940326,7.81601383915903,15.6279144569361,14.94347529691,6125154,3089362.43821481
26,130,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0,8.56445838388335,10.2620706747442,15.6144869226422,15.0885032014045,6043458,3571524.88568197
29,147,미국,워너브러더스 코리아(주),드라마,12세이상관람가,0,6.38856140554563,0,15.5950199673217,14.7978866700537,5926948,2670794.81621679
51,158,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,0,6.44094654063292,0,15.5924761352124,14.5842955466767,5911890,2157143.70694268
23,127,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1,5.4380793089232,8.21689858091361,15.5491337236093,15.101325515879,5661128,3617614.960157
32,108,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,0,7.26473017792987,9.70619447981203,15.5447311055225,15.110671230934,5636259,3651582.63763626
33,107,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,0,6.52502965784346,0,15.5387311597728,14.8085959226412,5602543,2699550.73488179
31,126,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,0,7.52671756135271,9.92073790594266,15.5371248849535,15.3865137502376,5593551,4811472.60560551
31,97,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,0,7.62608275807238,0,15.5353435712368,14.5961807097278,5583596,2182934.67294682
24,124,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,1,6.79570577517351,9.64614067988042,15.5287303005878,15.0273506209833,5546792,3359660.95629459
10,123,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,0,7.67786350067821,7.99598047476376,15.5276779679615,14.8115473920215,5540958,2707530.14591743
5,116,한국,(주)쇼박스,드라마,15세이상관람가,0,6.27852142416584,0,15.5215498162889,14.9600023670178,5507106,3140844.80230333
27,118,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,7.00124562206948,0,15.5196306348605,15.1229989959288,5496547,3696877.10640584
27,118,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,5.30826769740121,7.48493028328966,15.5107271879755,15.1288276926609,5447826,3718488.00241081
43,114,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,0,6.7093043402583,9.78751537628371,15.5104615421558,15.0320130817836,5446379,3375361.81768804
45,108,한국,씨제이이앤엠(주),미스터리,15세이상관람가,0,6.24804287450843,9.6752058233658,15.509463316981,14.8319155249535,5440945,2763242.93653496
38,135,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,0,6.4085287910595,7.81116338502528,15.5093238094241,15.0743308895532,5440186,3521265.11105588
7,134,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,5.96100533962327,8.92225821950306,15.5017231978829,15.2069087624161,5398994,4020467.56050872
3,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,6.99025650049388,9.78013277350602,15.4862928331392,15.2316426383386,5316325,4121149.29836507
42,107,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,6.58617165485467,0,15.4851984338038,14.6283112772354,5310510,2254212.57045802
26,164,미국,씨제이이앤엠(주),액션,12세이상관람가,1,8.17018565287964,8.98819632099506,15.4824248003643,15.4158241981093,5295801,4954586.13784377
44,115,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,0,4.8283137373023,6.41017488196617,15.4821071397938,14.1133929925281,5294119,1347003.41752604
25,115,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,0,6.90875477931522,0,15.4713596164708,14.2491782589095,5237525,1542906.07669026
52,121,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,7.25276241805319,0,15.4605113479743,15.236969387476,5181014,4143160.19806045
11,129,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,0,5.29330482472449,9.09313217107064,15.4521730942532,14.7057452676005,5137993,2435701.26676362
21,123,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,0,5.57972982598622,7.90211754627645,15.4375922004961,14.6802176849023,5063620,2374310.61252023
21,91,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,6.42971947803914,0,15.4374148412873,14.8750491818483,5062722,2885039.59379236
51,143,미국,워너브러더스 코리아(주),액션,12세이상관람가,1,5.32300997913841,6.72503364216684,15.4325463333973,15.002735848032,5038134,3277973.15245753
32,137,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,5.53733426701854,7.79852305362521,15.4191840882247,14.8215664298407,4971261,2734793.34027495
28,101,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0,5.0998664278242,8.03980234373648,15.4186661780591,14.489645240711,4968687,1962334.19944613
39,140,미국,이십세기폭스코리아(주),액션,청소년관람불가,0,6.49828214947643,10.1225427579417,15.4139853948924,14.7807783325426,4945484,2625490.60199386
32,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,0,4.85203026391962,0,15.4042458422229,14.7716356701722,4897551,2601596.02433304
41,142,미국,이십세기폭스코리아(주),액션,12세이상관람가,0,6.42486902390539,8.82644104178258,15.3997319906135,14.97519209362,4875494,3188917.55785089
43,130,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,6.24416690066374,9.49092229793766,15.3959628158763,15.1739675588461,4857152,3890186.11470039
26,136,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,6.96885037834195,0,15.3951329732135,15.267350685059,4853123,4270966.40972226
48,85,한국,CGV아트하우스,다큐멘터리,전체관람가,0,5.25227342804663,9.06543020018037,15.384408727708,13.4721374403684,4801355,709373.482447359
4,115,한국,(주)쇼박스,코미디,12세이상관람가,1,6.14418563412565,0,15.3812596621584,14.914056536562,4786259,2999801.07638409
30,137,한국,(주)쇼박스,사극,15세이상관람가,0,7.46049030582534,9.56934260567401,15.3788825421264,15.5307015330779,4774895,5557736.80043523
5,133,한국,(주)쇼박스,범죄,청소년관람불가,0,5.4249500174814,0,15.3652948520055,14.8736770501449,4710454,2881083.65415598
7,108,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,0,6.53233429222235,7.81359155295243,15.3637632539781,14.7472948459166,4703245,2539035.50874684
23,113,미국,워너브러더스 코리아(주),액션,12세이상관람가,1,5.89989735358249,7.83518375526675,15.3624647966152,15.005192488665,4697142,3286035.85402301
8,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,0,6.36647044773144,0,15.3593410048099,14.9200157138942,4682492,3017730.79308079
46,132,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,1,5.80211837537706,9.46032057724395,15.356025525038,14.8753794069186,4666993,2885992.46351711
38,125,한국,씨제이이앤엠(주),드라마,청소년관람불가,0,6.46769872610435,0,15.3551314022118,14.9676801141096,4662822,3165052.224669
20,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,0,4.85203026391962,0,15.3412587705259,14.5494274061725,4598583,2083224.32186883
49,135,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,0,6.59578051396131,9.02857865844074,15.3352736222437,14.925073488897,4571142,3033032.46002606
27,109,한국,씨제이이앤엠(주),공포,15세이상관람가,0,6.98007594056176,0,15.322478439927,14.5312952926173,4513026,2045791.45596371
17,125,미국,씨제이엔터테인먼트,SF,12세이상관람가,1,6.58202513889283,0,15.3192178862737,14.9826189546098,4498335,3212689.37096901
50,139,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0,6.74405918631135,8.69366433453202,15.3087148338031,15.1300345159652,4451336,3722978.26932332
28,131,미국,워너브러더스 코리아(주),판타지,전체관람가,0,7.46508273639955,0,15.2971828238678,14.8370903265512,4400298,2777579.23224848
21,134,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,6.53958595561767,8.31041499418829,15.2773462028416,15.0132588113078,4313871,3312649.27134135
22,144,한국,씨제이이앤엠(주),스릴러,청소년관람불가,0,6.08221891037645,9.98373024021233,15.2687789874921,14.7593818678716,4277071,2569911.10780784
17,142,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,6.5410299991899,8.21066803116298,15.2430308320184,15.3423310897174,4168350,4603516.79363238
52,137,한국,(주)쇼박스,액션,15세이상관람가,0,6.83625927727707,0,15.234090098467,15.1841761706851,4131248,3930102.91562731
12,118,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,0,6.34035930372775,0,15.2290905084661,14.6949724506558,4110645,2409602.7326521
3,124,한국,씨제이이앤엠(주),코미디,12세이상관람가,0,5.25227342804663,0,15.2160889153368,14.7972760196091,4057546,2669164.39203509
47,116,한국,(주)쇼박스,범죄,15세이상관람가,0,5.77455154554441,8.81433042263877,15.2063796888495,14.8072227522367,4018341,2695846.33567478
28,130,미국,이십세기폭스코리아(주),액션,12세이상관람가,1,5.86929691313377,8.00101996132365,15.2023382768236,14.9858579853334,4002134,3223112.24143324
36,147,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,1,8.146419323098,8.8758461777386,15.2022580663974,14.9280722536527,4001813,3042141.46192083
4,94,미국,씨제이이앤엠(주),애니메이션,전체관람가,1,5.40267738187228,9.42875274891449,15.1980006921802,14.750563697971,3984812,2547348.82027592
13,135,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,1,6.07304453410041,7.58528107863913,15.1925673841316,14.8406869549768,3963220,2787587.13924277
2,128,한국,(주)쇼박스,코미디,15세이상관람가,0,6.71295620067707,0,15.1747461092558,14.7060158795077,3893216,2436360.48572113
40,107,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,1,5.59471137960184,7.65207074611648,15.1734301356157,14.6052394680728,3888096,2202799.18871398
