OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,SERIES,NAVER_CMT_NN,NAVER_EX_PT,AUDI_ACC,y_pred,exp(train_y),exp(y_pred)
29,118,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,0,8.54539184577492,11.0501278102148,16.2635005981126,15.5177158176621,11565078,5486032.18745714
51,126,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,0,10.1899438740621,0,16.2467044097778,15.5022064795647,11372451,5401603.86549982
17,149,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,1,7.18538701558042,10.7010848344525,16.2324844883911,15.8271123622499,11211880,7475281.70074921
17,141,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,7.9665866976384,11.4739351252789,16.1663617730798,15.9323927675446,10494499,8305203.19689376
3,108,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,1,6.97541392745595,0,16.1472758378448,14.823448598158,10296101,2739945.52877626
45,169,미국,워너브러더스 코리아(주),SF,12세이상관람가,0,6.69456205852109,9.35123211067366,16.14510781521,15.1594879963246,10273803,3834263.76425974
44,134,미국,이십세기폭스코리아(주),드라마,12세이상관람가,0,4.92725368515721,7.02019070831193,16.1126942898358,14.1428760644063,9946132,1387308.45470014
5,126,한국,(주)쇼박스,범죄,15세이상관람가,0,6.60800062529609,10.7555810383651,16.0875428308447,15.4794227194047,9699091.99999999,5279926.41696613
37,139,한국,(주)쇼박스,사극,15세이상관람가,0,7.36897040219479,0,16.0275784265702,15.3027660692258,9134586,4424934.65562977
17,130,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,12세이상관람가,1,8.08948247436075,0,16.0128805691689,15.4545300056276,9001309.00000001,5150117.07621744
31,125,한국,씨제이이앤엠(주),SF,15세이상관람가,0,8.37101068123816,0,16.0032284227009,15.3370440785003,8914844.99999999,4579242.17534095
17,147,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,1,7.03966034986208,10.9242103692095,15.976215100918,15.8551482451119,8677249,7687823.2970379
4,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,7.3004728142678,0,15.9738091431572,15.4423932925508,8656397,5087989.35870702
32,129,한국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,12세이상관람가,1,7.41276401742656,8.50532301884575,15.972695010966,15.0634491258261,8646758,3483155.26333334
3,125,한국,씨제이이앤엠(주),액션,15세이상관람가,0,6.41836493593621,9.19816657104447,15.8718684607111,15.2209809936944,7817446,4077444.46571347
26,152,미국,씨제이이앤엠(주),액션,12세이상관람가,1,7.49609734517596,0,15.8676845716777,15.2611642017261,7784806.99999999,4244625.70937568
51,127,한국,씨제이이앤엠(주),드라마,12세이상관람가,0,6.30261897574491,9.52464003233223,15.8644249774821,15.5535483584587,7759473,5686175.05908703
50,132,미국,씨제이이앤엠(주),액션,15세이상관람가,1,5.74939298590825,0,15.8404825821858,14.6903712440484,7575899.00000001,2398541.12053432
36,139,한국,워너브러더스 코리아(주),액션,15세이상관람가,0,6.0913098820777,9.54652685348758,15.8287515314045,15.1197569519245,7487545,3684911.07582827
32,122,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,0,6.13339804299665,0,15.8260006558704,14.7866376855679,7466976,2640919.43564518
18,124,한국,씨제이이앤엠(주),드라마,15세이상관람가,1,6.24222326545517,0,15.8073250786391,14.9602891865371,7328820,3141745.78710373
27,133,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,12세이상관람가,1,6.12686918411419,9.63135069141981,15.7976111467152,15.0231884189658,7257973,3345706.42960932
52,129,한국,씨제이이앤엠(주),드라마,15세이상관람가,0,7.1066061377273,9.53798807237101,15.7939761244916,15.246459685945,7231637.99999999,4182667.19502292
5,120,한국,씨제이이앤엠(주),액션,15세이상관람가,0,7.12125245324454,0,15.7848859464866,15.1362446442316,7166199,3746170.38036587
51,142,한국,씨제이이앤엠(주),액션,15세이상관람가,0,7.20563517641036,9.83472679696534,15.7826985761435,15.6878667901581,7150541,6503602.35725993
32,126,한국,(주)쇼박스,드라마,12세이상관람가,0,6.30078579466324,9.55761123583962,15.7782205110235,15.3720613537884,7118592,4742435.37437892
17,142,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,1,7.13727843726039,0,15.7720592027303,15.2955042112109,7074867,4392917.80006436
47,130,한국,(주)쇼박스,범죄,청소년관람불가,0,7.1770187659099,9.4090272828564,15.7716203702946,15.1594678636642,7071763.00000001,3834186.57110656
30,110,한국,씨제이이앤엠(주),전쟁,12세이상관람가,0,7.63191651307125,10.4721197133981,15.7684875352084,15.0933573810203,7049643,3588903.85517392
