"OPEN_MONTH","OPEN_QUARTER","SHOW_TM","NATION_NM","TOP_COMPANY_NM","PRI_GENRE_NM","WATCH_GRADE_NM","SERIES","NAVER_CMT_NN","NAVER_EX_PT","ORI_BOOK","AUDI_ACC"
"7","3",118,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",1098,0,"0",5496547
"7","3",118,"미국","기타","액션","12세이상관람가","1",202,1781,"0",5447826
"10","4",114,"미국","기타","액션","12세이상관람가","0",820,17810,"0",5446379
"11","4",108,"한국","씨제이이앤엠(주)","미스터리","15세이상관람가","0",517,15918,"0",5440945
"9","3",135,"한국","(주)넥스트엔터테인먼트월드(NEW)","사극","12세이상관람가","0",607,2468,"0",5440186
"2","1",134,"미국","기타","액션","12세이상관람가","1",388,7497,"0",5398994
"1","1",134,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",1086,17679,"0",5316325
"10","4",107,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",725,0,"1",5310510
"6","2",164,"미국","씨제이이앤엠(주)","액션","12세이상관람가","1",3534,8008,"0",5295801
"10","4",115,"한국","기타","드라마","15세이상관람가","0",125,608,"0",5294119
"6","2",115,"미국","롯데쇼핑㈜롯데엔터테인먼트","드라마","15세이상관람가","0",1001,0,"1",5237525
"12","4",121,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",1412,0,"0",5181014
"3","1",129,"미국","기타","멜로","전체관람가","0",199,8894,"0",5137993
"5","2",123,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","15세이상관람가","0",265,2703,"0",5063620
"5","2",91,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",620,0,"0",5062722
"12","4",143,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",205,833,"0",5038134
"8","3",137,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",254,2437,"0",4971261
"7","3",101,"미국","기타","애니메이션","전체관람가","0",164,3102,"0",4968687
"9","3",140,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","0",664,24898,"0",4945484
"8","3",121,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","12세이상관람가","0",128,0,"0",4897551
"10","4",142,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","0",617,6812,"1",4875494
"10","4",130,"미국","기타","액션","12세이상관람가","1",515,13239,"0",4857152
"6","2",136,"미국","기타","액션","12세이상관람가","1",1063,0,"0",4853123
"11","4",85,"한국","기타","다큐멘터리","전체관람가","0",191,8651,"0",4801355
"1","1",115,"한국","기타","코미디","12세이상관람가","1",466,0,"1",4786259
"7","3",137,"한국","기타","사극","15세이상관람가","0",1738,14319,"0",4774895
"2","1",133,"한국","기타","범죄","청소년관람불가","0",227,0,"0",4710454
"2","1",108,"미국","기타","애니메이션","전체관람가","0",687,2474,"0",4703245
"6","2",113,"미국","워너브러더스 코리아(주)","액션","12세이상관람가","1",365,2528,"1",4697142
"2","1",134,"한국","(주)넥스트엔터테인먼트월드(NEW)","범죄","청소년관람불가","0",582,0,"0",4682492
"11","4",132,"미국","워너브러더스 코리아(주)","어드벤처","12세이상관람가","1",331,12840,"1",4666993
"9","3",125,"한국","씨제이이앤엠(주)","드라마","청소년관람불가","0",644,0,"1",4662822
"5","2",121,"한국","(주)넥스트엔터테인먼트월드(NEW)","코미디","15세이상관람가","0",128,0,"0",4598583
"12","4",135,"한국","(주)넥스트엔터테인먼트월드(NEW)","드라마","12세이상관람가","0",732,8338,"0",4571142
"7","3",109,"한국","씨제이이앤엠(주)","공포","15세이상관람가","0",1075,0,"0",4513026
"4","2",125,"미국","기타","SF","12세이상관람가","1",722,0,"0",4498335
"12","4",139,"한국","(주)넥스트엔터테인먼트월드(NEW)","액션","15세이상관람가","0",849,5965,"0",4451336
"7","3",131,"미국","워너브러더스 코리아(주)","판타지","전체관람가","0",1746,0,"1",4400298
"5","2",134,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",692,4066,"1",4313871
"6","2",144,"한국","씨제이이앤엠(주)","스릴러","청소년관람불가","0",438,21671,"1",4277071
"4","2",142,"미국","기타","액션","12세이상관람가","1",693,3680,"0",4168350
"12","4",137,"한국","기타","액션","15세이상관람가","0",931,0,"0",4131248
"3","1",118,"한국","롯데쇼핑㈜롯데엔터테인먼트","멜로","12세이상관람가","0",567,0,"0",4110645
"1","1",124,"한국","씨제이이앤엠(주)","코미디","12세이상관람가","0",191,0,"0",4057546
"11","4",116,"한국","기타","범죄","15세이상관람가","0",322,6730,"0",4018341
"7","3",130,"미국","이십세기폭스코리아(주)","액션","12세이상관람가","1",354,2984,"0",4002134
"9","3",147,"한국","기타","드라마","청소년관람불가","1",3451,7157,"1",4001813
"1","1",94,"미국","씨제이이앤엠(주)","애니메이션","전체관람가","1",222,12441,"0",3984812
"3","1",135,"미국","기타","액션","15세이상관람가","1",434,1969,"1",3963220
"1","1",128,"한국","기타","코미디","15세이상관람가","0",823,0,"0",3893216
"10","4",107,"미국","기타","액션","15세이상관람가","1",269,2105,"0",3888096
"2","1",124,"한국","기타","사극","12세이상관람가","1",310,7406,"0",3872015
"4","2",135,"한국","롯데쇼핑㈜롯데엔터테인먼트","사극","15세이상관람가","0",1281,6255,"1",3849433
"5","2",120,"미국","워너브러더스 코리아(주)","액션","15세이상관람가","1",255,2005,"0",3842441
"10","4",140,"한국","씨제이이앤엠(주)","사극","15세이상관람가","0",711,8809,"1",3829891
"5","2",117,"미국","이십세기폭스코리아(주)","액션","청소년관람불가","1",199,2012,"0",3784602
"10","4",109,"한국","기타","범죄","15세이상관람가","0",329,1474,"0",3772620
"11","4",114,"한국","씨제이이앤엠(주)","드라마","12세이상관람가","0",312,1172,"0",3754983
"6","2",110,"미국","유니버설픽쳐스인터내셔널 코리아(유)","액션","15세이상관람가","0",353,6513,"0",3689325
