TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
권호영,2,1,7,110,한국,씨제이엔터테인먼트,스릴러,15세이상관람가,기타,0,175,0,0,937029
조던 필,3,1,13,116,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세이상관람가,기타,0,88,520,0,936431
박영균,1,1,4,77,한국,씨제이이앤엠(주),애니메이션,전체관람가,기타,0,153,0,0,929985
존 R. 레오네티,10,4,40,98,미국,워너브러더스 코리아(주),공포,15세이상관람가,기타,1,125,6159,0,925813
크리스 리노드/피에르 꼬팽,9,3,37,98,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,기타,1,370,0,0,925108
기타,9,3,37,132,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,기타,0,377,2669,0,921317
알렉스 프로야스,3,1,9,126,미국,(주)시네마서비스,어드벤처,12세이상관람가,기타,0,127,2439,0,918678
리치 무어,12,4,51,108,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,존 C. 라일리,,228,0,0,918183
플로리안 헨켈 폰 도너스마르크,12,4,49,100,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,15세이상관람가,안젤리나 졸리,0,62,0,0,915359
벤 스타센/제레미 드그루손,12,4,52,85,벨기에,씨제이이앤엠(주),애니메이션,전체관람가,기타,0,99,0,0,904145
토미 위르콜라,2,1,8,123,영국,기타,액션,15세이상관람가,기타,0,494,1387,0,903175
신정원,10,4,40,119,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,기타,0,73,0,0,900054
김지운,7,3,30,138,한국,워너브러더스 코리아(주),SF,15세이상관람가,강동원,0,1088,2941,0,897548
조나단 리브스만,3,1,13,100,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,,151,0,0,893027
안드레스 무시에티,9,3,36,134,미국,워너브러더스 코리아(주),공포,15세이상관람가,기타,1,204,6267,1,888386
젠디 타타코브스키,1,1,3,91,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,기타,1,181,0,0,884885
톰 맥그라스,1,1,2,95,미국,씨제이엔터테인먼트,애니메이션,전체관람가,기타,1,196,0,0,875481
최신규,8,3,31,84,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0,25,205,0,874967
맥지,2,1,9,97,미국,이십세기폭스코리아(주),액션,15세이상관람가,기타,,29,0,0,873396
그렉 스트로즈/콜린 스트로즈,11,4,47,93,미국,기타,액션,12세이상관람가,기타,1,609,0,0,873079
유선동,7,3,30,84,한국,(주)넥스트엔터테인먼트월드(NEW),공포,15세이상관람가,기타,,1919,0,0,872594
김현석,11,4,48,98,한국,씨제이이앤엠(주),스릴러,15세이상관람가,정재영,0,269,0,0,870785
댄 스캔론,9,3,37,110,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,기타,1,476,0,0,870065
라자 고스넬,8,3,31,104,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,기타,1,122,0,0,869805
김태경,5,2,22,93,한국,(주)쇼박스,공포,15세이상관람가,박보영,0,564,0,0,867386
케네스 브래너,11,4,48,113,미국,이십세기폭스코리아(주),드라마,12세이상관람가,기타,0,267,2952,1,864757
데이빗 예이츠,6,2,26,109,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,0,105,2640,0,858402
손용호,3,1,11,102,한국,씨네그루(주)다우기술,범죄,청소년관람불가,기타,0,259,8238,0,855980
프란시스 로렌스,11,4,47,122,미국,롯데쇼핑㈜롯데엔터테인먼트,어드벤처,15세이상관람가,기타,1,439,14780,1,854377
박현진,2,1,7,122,한국,씨제이이앤엠(주),멜로,12세이상관람가,기타,0,362,11032,0,848148
기타,2,1,7,113,한국,씨제이엔터테인먼트,멜로,15세이상관람가,현빈,0,315,0,0,844103
정윤철,5,2,22,129,한국,이십세기폭스코리아(주),드라마,15세이상관람가,이정재,0,512,2929,0,837500
앤드류 스탠튼,3,1,10,132,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,SF,12세이상관람가,기타,,116,0,1,837426
임찬익,5,2,18,117,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,기타,0,114,0,0,831804
김광태,7,3,28,107,한국,씨제이이앤엠(주),판타지,15세이상관람가,류승룡,0,259,7780,0,827918
리 워넬,7,3,28,97,미국,유니버설픽쳐스인터내셔널 코리아(유),공포,15세이상관람가,기타,,178,3097,0,825517
김현호/윤제완,12,4,49,78,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0,46,2730,0,824079
임순례,2,1,6,121,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,김윤석,0,373,0,0,821918
에드가 라이트,9,3,37,112,영국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,기타,0,102,1479,0,821419
샤론 맥과이어,9,3,39,122,미국,유니버설픽쳐스인터내셔널 코리아(유),코미디,15세이상관람가,기타,1,633,3519,1,820995
스티븐 스필버그,12,4,49,,미국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,0,167,0,1,814023
기타,12,4,49,121,미국,워너브러더스 코리아(주),액션,12세이상관람가,크리스 헴스워스,0,129,1575,1,809755
프란시스 로렌스,11,4,47,136,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1,296,13214,1,806709
톰 후퍼,3,1,11,118,영국,기타,드라마,12세이상관람가,콜린 퍼스,,101,0,1,806248
코디 카메론/크리스 피언,11,4,47,94,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),애니메이션,전체관람가,기타,1,120,0,0,800062
부지영,11,4,46,103,한국,기타,드라마,12세이상관람가,염정아,0,8779,48999,0,799275
조 카나한,6,2,23,119,미국,이십세기폭스코리아(주),액션,15세이상관람가,기타,,107,0,0,791173
김곡/김선,6,2,23,106,한국,씨제이이앤엠(주),공포,15세이상관람가,기타,0,494,0,0,790954
이원석,12,4,52,127,한국,(주)쇼박스,사극,15세이상관람가,기타,0,524,8746,0,790158
크리스토퍼 맥쿼리,1,1,3,130,미국,씨제이이앤엠(주),액션,15세이상관람가,톰 크루즈,1,231,0,0,784031
권칠인,2,1,7,108,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,청소년관람불가,기타,0,216,0,0,773996
기타,3,1,12,99,미국,기타,미스터리,청소년관람불가,랄프 파인즈,0,84,333,1,773649
이현승,8,3,35,122,한국,씨제이이앤엠(주),액션,15세이상관람가,송강호,0,371,0,0,771699
장규성,8,3,32,120,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,기타,0,93,0,0,768971
변혁,8,3,35,119,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,청소년관람불가,기타,0,136,364,0,768442
김대웅,5,2,19,109,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,유해진,0,112,523,0,765963
거나 칼슨/오스카 요나손/토비 젠켈,2,1,6,83,아이슬란드,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,0,122,0,1,765315
폴 W.S. 앤더슨,1,1,4,106,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,청소년관람불가,기타,1,559,9388,0,765259
루퍼트 샌더스,3,1,13,106,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15세이상관람가,기타,0,894,4457,1,764072
카를로스 살다나,5,2,18,101,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,1,1653,939,0,761404
최국희,11,4,45,121,한국,오퍼스픽쳐스(유),드라마,15세이상관람가,기타,0,393,1700,0,757430
기타,8,3,33,125,미국,이십세기폭스코리아(주),드라마,12세이상관람가,기타,0,296,2251,1,744387
기타,1,1,3,111,한국,(주)시네마서비스,액션,15세이상관람가,기타,0,257,0,0,742475
바박 나자피,3,1,10,97,미국,메가박스중앙(주)플러스엠,액션,15세이상관람가,기타,1,164,1325,0,731551
정연식,11,4,46,123,한국,씨제이이앤엠(주),스릴러,청소년관람불가,기타,0,536,0,0,731212
로드니 로스맨/밥 퍼시케티/피터 램지,12,4,50,116,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,애니메이션,12세이상관람가,기타,1,80,600,0,723450
허종호,9,3,37,105,한국,롯데컬처웍스(주)롯데엔터테인먼트,액션,15세이상관람가,김명민,0,331,1274,0,723414
이지원,10,4,41,97,한국,기타,드라마,15세이상관람가,기타,0,84,690,0,720558
케네스 브래너,3,1,12,113,미국,월트디즈니컴퍼니코리아(주),멜로,전체관람가,기타,0,168,4666,0,716386
기타,6,2,25,121,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년관람불가,기타,0,176,0,0,714102
가렛 에드워즈,5,2,20,122,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,1,463,1984,0,709734
이정철,7,3,29,92,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,전체관람가,기타,0,462,0,0,707748
김종현,8,3,32,125,한국,메가박스중앙(주)플러스엠,드라마,12세이상관람가,기타,1,1739,7290,0,703024
김광식,5,2,20,105,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,기타,0,74,0,0,699973
월리 피스터,5,2,20,119,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,12세이상관람가,기타,0,357,2385,0,696412
곽경택,9,3,36,105,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,15세이상관람가,기타,0,200,0,0,693101
기타,10,4,42,121,미국,유니버설픽쳐스인터내셔널 코리아(유),미스터리,15세이상관람가,기타,,101,2279,1,689071
존 추,8,3,31,107,미국,기타,드라마,12세이상관람가,기타,,188,0,0,682712
크리스 콜럼버스,7,3,29,105,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,기타,0,233,6795,0,681945
클레이 케이티스/퍼갈 레일리,5,2,20,97,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,기타,1,84,2592,0,680606
김병갑,7,3,30,67,한국,씨제이이앤엠(주),애니메이션,전체관람가,기타,0,18,320,0,678091
마이크 미첼/월트 도른,2,1,7,92,미국,씨제이이앤엠(주),애니메이션,전체관람가,기타,1,164,2126,0,675966
변승욱,7,3,27,106,한국,(주)넥스트엔터테인먼트월드(NEW),공포,15세이상관람가,기타,0,645,0,0,670295
모튼 틸덤,1,1,1,116,미국,유니버설픽쳐스인터내셔널 코리아(유),어드벤처,12세이상관람가,크리스 프랫,0,188,3472,0,668576
데이미언 셔젤,10,4,42,141,미국,유니버설픽쳐스인터내셔널 코리아(유),SF,12세이상관람가,기타,0,87,473,1,665364
크리스 밀러/필 로드,2,1,6,90,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애니메이션,전체관람가,기타,,251,0,1,665096
폴 W.S. 앤더슨,10,4,41,110,독일,롯데쇼핑㈜롯데엔터테인먼트,액션,12세이상관람가,기타,,117,0,0,657564
정기훈,11,4,48,106,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,15세이상관람가,정재영,0,440,8738,1,654407
D.J. 카루소,2,1,8,103,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,기타,0,124,0,1,654386
기타,12,4,1,113,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,12세이상관람가,해리슨 포드,0,1126,0,1,654212
조규장,1,1,2,103,한국,(주)쇼박스,멜로,15세이상관람가,기타,0,284,8071,0,652453
자끄 페렝/자크 클로드,7,3,30,87,프랑스,롯데쇼핑㈜롯데엔터테인먼트,다큐멘터리,전체관람가,기타,,112,0,0,650994
김형협,4,2,15,114,한국,메가박스중앙(주)플러스엠,코미디,12세이상관람가,기타,0,1100,5211,1,646412
이우철,6,2,26,92,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,0,392,5209,0,645922
카를로스 살다나,7,3,30,96,미국,이십세기폭스코리아(주),애니메이션,전체관람가,송중기,1,228,0,0,645191
시즈노 코분,8,3,31,109,일본,기타,애니메이션,전체관람가,기타,1,1263,0,0,644216
기타,11,4,46,132,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,12세이상관람가,기타,0,61,0,1,641099
루퍼트 샌더스,5,2,22,127,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,기타,,270,0,0,636631
모홍진,3,1,10,108,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,청소년관람불가,심은경,0,738,3993,0,634953
성시흡,1,1,2,120,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,정재영,0,507,0,0,632299
기타,2,1,5,116,미국,유니버설픽쳐스인터내셔널 코리아(유),SF,12세이상관람가,기타,0,1465,2339,1,629322
김대승,12,4,53,122,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,유승호,0,403,13233,1,628576
기타,7,3,29,100,일본,기타,애니메이션,전체관람가,기타,1,928,0,0,628423
기타,9,3,39,95,미국,워너브러더스 코리아(주),드라마,12세이상관람가,기타,0,277,2082,1,627102
후안 안토니오 바요나,1,1,3,113,스페인,롯데쇼핑㈜롯데엔터테인먼트,액션,12세이상관람가,기타,,307,0,0,622572
베리 쿡,11,4,47,97,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애니메이션,전체관람가,기타,,135,0,0,622286
알렉세이 트시칠린,12,4,52,78,러시아,씨네그루(주)다우기술,애니메이션,전체관람가,기타,1,114,4126,0,618598
기타,10,4,43,109,미국,이십세기폭스코리아(주),SF,12세이상관람가,기타,0,117,0,0,616943
노덕,10,4,43,125,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세이상관람가,조정석,0,276,2717,0,616481
기타,11,4,48,118,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,톰 크루즈,1,176,1974,1,612328
박철관,6,2,25,115,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,기타,0,141,0,1,611685
천성일,9,3,39,111,한국,롯데쇼핑㈜롯데엔터테인먼트,전쟁,12세이상관람가,설경구,0,1102,4085,0,609063
폴 그린그래스,3,1,12,114,미국,(주)싸이더스,드라마,15세이상관람가,기타,,107,0,1,606841
게리 로스,4,2,14,142,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,기타,1,409,0,0,606531
손재곤,11,4,47,115,한국,(주)싸이더스,코미디,15세이상관람가,기타,0,237,0,0,605224
기타,9,3,36,104,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,청소년관람불가,기타,0,75,0,0,602967
닐 나이팅게일/베리 쿡,12,4,51,87,미국,이십세기폭스코리아(주),액션,전체관람가,기타,,84,0,0,599963
김동욱,4,2,14,107,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,기타,0,149,0,1,599176
이정범,6,2,23,116,한국,씨제이이앤엠(주),액션,청소년관람불가,기타,0,377,2136,0,599050
올리비에 메가턴,8,3,35,105,미국,(주)시너지하우스 (시너지),액션,15세이상관람가,기타,,50,0,0,598373
라인하드 클루스,1,1,2,94,독일,(주)싸이더스,애니메이션,전체관람가,기타,,435,0,0,597142
게리 위닉,10,4,40,105,미국,(주)넥스트엔터테인먼트월드(NEW),멜로,12세이상관람가,기타,0,76,0,0,593630
박상준,6,2,24,104,한국,기타,액션,청소년관람불가,기타,0,305,2734,0,592041
애스게르 레스,2,1,8,102,미국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,기타,0,45,0,0,591841
기타,11,4,45,114,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,기타,0,2220,39795,1,591125
기타,7,3,29,89,영국,씨네그루(주)키다리이엔티,스릴러,15세이상관람가,기타,,283,3483,0,590036
기타,1,1,2,179,미국,기타,범죄,청소년관람불가,레오나르도 디카프리오,0,165,0,0,585082
장진,9,3,37,121,한국,(주)시네마서비스,코미디,15세이상관람가,기타,0,131,0,0,583183
존 터틀타웁,7,3,29,107,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,전체관람가,기타,0,115,0,0,582698
팀 버튼,5,2,19,112,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,,171,0,0,582126
마크 오스본,12,4,52,106,프랑스,씨네그루(주)다우기술,애니메이션,전체관람가,기타,0,227,4537,0,579130
제임스 완,12,4,49,105,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),공포,15세이상관람가,기타,,228,0,0,577758
타셈 싱,5,2,18,108,미국,롯데쇼핑㈜롯데엔터테인먼트,판타지,전체관람가,기타,,112,0,0,576150
김진철/최신규,1,1,5,78,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0,20,107,0,575353
닐 블롬캠프,3,1,11,120,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,15세이상관람가,휴 잭맨,,253,2671,0,573657
해럴드 즈워트,9,3,37,129,미국,롯데쇼핑㈜롯데엔터테인먼트,판타지,15세이상관람가,기타,,238,0,0,571074
라이언 존슨,10,4,41,119,미국,기타,SF,청소년관람불가,기타,0,43,0,0,570010
마이크 미첼,12,4,50,,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,,144,0,0,569773
롤랜드 에머리히,6,2,26,131,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),액션,15세이상관람가,기타,,167,0,0,569500
한지승,2,1,5,116,한국,롯데쇼핑㈜롯데엔터테인먼트,가족,12세이상관람가,기타,0,275,0,0,562156
애덤 로비텔,3,1,11,99,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,액션,15세이상관람가,기타,,30,116,0,561812
트리시 시에,9,3,36,111,미국,기타,드라마,12세이상관람가,기타,,315,2473,0,560620
존 카니,5,2,20,105,아일랜드,기타,드라마,15세이상관람가,기타,0,351,1449,0,560578
폴 W.S. 앤더슨,9,3,37,95,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,청소년관람불가,기타,1,162,0,0,558433
애덤 로비텔,1,1,5,103,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,공포,15세이상관람가,기타,,97,2653,0,554521
마이크 트메이어,7,3,29,94,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,1,147,2266,0,553760
스콧 모시어,12,4,51,89,미국,유니버설픽쳐스인터내셔널 코리아(유),애니메이션,전체관람가,베네딕트 컴버배치,,25,292,0,552962
데니스 간젤,8,3,35,97,미국,(주)제이앤씨미디어그룹,액션,15세이상관람가,기타,1,105,2497,0,551897
우시로 신지/타카하시 시게하루,7,3,30,96,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,0,175,5836,0,550728
한상호,12,4,52,93,한국,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,0,46,192,0,550059
김병곤,11,4,45,110,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,12세이상관람가,기타,0,689,0,0,540972
김지영,4,2,15,110,한국,기타,다큐멘터리,15세이상관람가,정우성,0,299,945,0,540558
기타,3,1,10,117,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,1,93,279,0,540410
M. 나이트 샤말란,5,2,22,100,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),SF,12세이상관람가,윌 스미스,0,265,0,0,537920
요네바야시 히로마사,12,4,49,102,일본,CGV아트하우스,애니메이션,전체관람가,기타,0,148,4379,1,535354
카를로스 살다나,1,1,1,107,미국,이십세기폭스코리아(주),애니메이션,전체관람가,기타,0,150,835,1,533776
권호영,3,1,10,108,한국,씨제이이앤엠(주),미스터리,청소년관람불가,김강우,0,610,0,0,531953
기타,5,2,20,147,한국,CGV아트하우스,미스터리,청소년관람불가,기타,0,6249,10341,1,528153
이환경,9,3,36,133,한국,(주)쇼박스,드라마,12세이상관람가,차태현,0,210,0,0,528149
추창민,3,1,13,123,한국,씨제이이앤엠(주),스릴러,15세이상관람가,류승룡,0,514,5888,1,528007
존 터틀타웁,8,3,33,113,미국,워너브러더스 코리아(주),액션,12세이상관람가,기타,,173,376,0,527331
기타,1,1,2,112,미국,이십세기폭스코리아(주),멜로,청소년관람불가,기타,,201,0,0,527077
황인호,3,1,11,113,한국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,청소년관람불가,기타,0,562,83,0,526282
존 크랜신스키,4,2,15,90,미국,롯데쇼핑㈜롯데엔터테인먼트,공포,15세이상관람가,기타,,71,213,0,526073
시즈노 코분/야마모토 야스이치로,7,3,29,110,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1,811,0,0,524914
하우메 콜렛 세라,2,1,7,113,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,,68,0,1,522794
신한솔,3,1,10,108,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,청소년관람불가,김수미,0,267,6556,0,519983
쏘어 프류덴탈,9,3,37,106,미국,이십세기폭스코리아(주),판타지,12세이상관람가,기타,1,537,0,0,519584
기타,1,1,2,123,미국,롯데쇼핑㈜롯데엔터테인먼트,스릴러,15세이상관람가,브래드 피트,0,596,1400,0,518886
라세 할스트롬/조 존스톤,12,4,49,99,미국,월트디즈니컴퍼니코리아 유한책임회사,판타지,전체관람가,기타,0,31,565,0,518272
데이빗 핀처,11,4,46,120,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,15세이상관람가,기타,0,97,0,1,517286
폴 페이그,8,3,34,116,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,기타,0,338,2374,0,515522
기타,8,3,34,88,미국,에스케이텔레콤(주),액션,청소년관람불가,기타,,178,0,0,515074
기타,7,3,30,123,미국,씨제이이앤엠(주),액션,12세이상관람가,크리스 에반스,,159,0,0,514417
기타,9,3,36,112,미국,월트디즈니컴퍼니코리아(주),어드벤처,12세이상관람가,기타,1,523,7616,0,513202
기타,8,3,35,136,프랑스,판씨네마(주),액션,12세이상관람가,기타,,311,4415,1,511931
기타,12,4,52,88,일본,기타,애니메이션,전체관람가,기타,0,93,0,0,510996
기타,11,4,46,129,한국,(주)쇼박스,드라마,12세이상관람가,강동원,0,395,12208,0,510878
라이언 머피,9,3,39,139,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,드라마,15세이상관람가,기타,,31,0,1,509623
기타,12,4,51,97,일본,기타,애니메이션,전체관람가,기타,1,316,3695,0,509555
시즈노 코분,8,3,31,111,일본,씨제이이앤엠(주),애니메이션,12세이상관람가,기타,1,738,18126,0,507508
이원석,2,1,7,116,한국,(주)쇼박스,코미디,15세이상관람가,기타,0,1106,0,0,507257
기예르모 델 토로,2,1,8,123,미국,이십세기폭스코리아(주),어드벤처,청소년관람불가,기타,0,108,1623,1,506261
야기 류이치/야마자키 타카시,2,1,7,94,일본,(주)넥스트엔터테인먼트월드(NEW),애니메이션,전체관람가,기타,1,202,14244,0,503516
기타,2,1,7,103,미국,유니버설픽쳐스인터내셔널 코리아(유),판타지,12세이상관람가,기타,0,628,1501,0,501286
기타,2,1,9,133,미국,판씨네마(주),드라마,15세이상관람가,기타,0,786,0,1,498004
정승구,6,2,25,118,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,15세이상관람가,송새벽,0,91,0,0,497880
이현종,12,4,51,114,한국,롯데쇼핑㈜롯데엔터테인먼트,코미디,12세이상관람가,기타,0,770,0,0,492773
김성호/김휘/민규동/정범식,6,2,23,95,한국,롯데쇼핑㈜롯데엔터테인먼트,미스터리,15세이상관람가,기타,1,743,0,0,492465
신근호,11,4,44,108,한국,(주)쇼박스,코미디,15세이상관람가,기타,0,102,0,0,491207
브래들리 쿠퍼,10,4,41,135,미국,워너브러더스 코리아(주),드라마,15세이상관람가,기타,0,34,218,0,490957
마크 포스터,10,4,40,103,미국,월트디즈니컴퍼니코리아 유한책임회사,어드벤처,전체관람가,기타,,51,480,0,490307
기타,11,4,44,111,미국,기타,액션,15세이상관람가,기타,1,78,0,0,489855
김태윤,2,1,6,115,한국,기타,드라마,12세이상관람가,기타,0,4123,0,0,489409
브라이언 피,7,3,28,108,미국,월트디즈니컴퍼니코리아 유한책임회사,애니메이션,전체관람가,기타,1,273,3006,0,487916
정지우,11,4,44,125,한국,씨제이이앤엠(주),드라마,15세이상관람가,최민식,0,318,5381,0,487897
기타,4,2,15,120,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,15세이상관람가,한효주,0,2064,9015,0,485083
창,5,2,20,116,한국,기타,가족,15세이상관람가,기타,0,465,6385,0,480987
기타,7,3,27,90,한국,기타,미스터리,15세이상관람가,강하늘,0,182,3750,0,480528
박제현,1,1,5,106,한국,(주)쇼박스,코미디,12세이상관람가,하지원,0,1181,0,0,480361
유성엽,4,2,16,108,한국,(주)싸이더스,드라마,전체관람가,기타,0,258,0,0,478822
기타,1,1,5,85,한국,(주)싸이더스,애니메이션,전체관람가,기타,1,404,0,0,478392
기타,1,1,4,117,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,12세이상관람가,이성민,0,821,5859,0,476665
D.J. 카루소,2,1,6,106,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,빈 디젤,1,323,1709,0,475309
이준익,7,3,27,122,한국,메가박스중앙(주)플러스엠,드라마,15세이상관람가,기타,0,169,1025,0,474137
김진영,4,2,18,118,한국,롯데쇼핑㈜롯데엔터테인먼트,멜로,15세이상관람가,기타,1,364,2757,0,472693
웨인 쏜리,12,4,52,83,남아프리카공화국,롯데쇼핑㈜롯데엔터테인먼트,애니메이션,전체관람가,기타,,76,0,0,472692
J.J. 에이브럼스,6,2,24,112,미국,씨제이이앤엠(주),SF,12세이상관람가,기타,,171,0,0,472118
허종호,9,3,39,119,한국,(주)싸이더스,드라마,청소년관람불가,정재영,0,113,0,0,471547
김길형/백동훈,1,1,4,119,한국,롯데쇼핑㈜롯데엔터테인먼트,드라마,전체관람가,기타,,270,0,0,471103
시즈노 코분,8,3,32,112,일본,씨제이이앤엠(주),애니메이션,전체관람가,기타,1,365,11984,0,470990
이사랑,6,2,26,137,한국,씨제이이앤엠(주),액션,청소년관람불가,김수현,0,1992,25803,0,470105
기타,10,4,40,123,중국,롯데쇼핑㈜롯데엔터테인먼트,액션,12세이상관람가,기타,,57,0,1,468273
김달중,1,1,3,124,한국,(주)시너지하우스 (시너지),드라마,12세이상관람가,김명민,0,391,0,0,467697
M. 나이트 샤말란,1,1,3,129,미국,월트디즈니컴퍼니코리아 유한책임회사,드라마,15세이상관람가,기타,0,80,468,0,466475
임필성,10,4,40,111,한국,씨제이이앤엠(주),멜로,청소년관람불가,정우성,0,281,7380,0,465749
존 라세터,7,3,29,113,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,애니메이션,전체관람가,기타,,88,0,0,465607
기타,10,4,43,115,일본,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,기타,0,314,4849,1,465495
안상훈,3,1,10,113,한국,씨제이이앤엠(주),사극,청소년관람불가,기타,0,292,7092,1,465492
앨리스터 그리어슨,2,1,6,108,미국,(주)시너지하우스 (시너지),어드벤처,15세이상관람가,기타,,124,0,0,464607
스테판 St. 레게르/제임스 매더스,6,2,24,94,미국,롯데쇼핑㈜롯데엔터테인먼트,SF,15세이상관람가,기타,0,44,0,0,462176
토니 스콧,11,4,45,98,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,,73,0,0,459535
기타,4,2,14,103,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,SF,15세이상관람가,기타,0,320,1716,0,459421
기타,11,4,45,99,한국,기타,액션,15세이상관람가,마동석,0,76,517,0,459020
