TOP_DIRECTOR,OPEN_MONTH,OPEN_QUARTER,OPEN_WEEK,SHOW_TM,NATION_NM,COMPANY_NM,PRI_GENRE_NM,WATCH_GRADE_NM,TOP_ACTOR,SERIES,NAVER_CMT_NN,NAVER_EX_PT,ORI_BOOK,AUDI_ACC
이정범,8,3,31,119,한국,씨제이엔터테인먼트,액션,청소년관람불가,원빈,0,626,0,0,6282774
이준익,9,3,38,125,한국,(주)쇼박스,사극,12세이상관람가,송강호,0,556,22459,0,6246849
크리스토퍼 맥쿼리,7,3,31,131,미국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,톰 크루즈,1,408,8626,0,6126488
매튜 본,2,1,7,128,미국,이십세기폭스코리아(주),액션,청소년관람불가,콜린 퍼스,1,168,2480,1,6125154
김학순,6,2,26,130,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,김무열,0,5242,28626,0,6043458
크리스토퍼 놀란,7,3,29,147,미국,워너브러더스 코리아(주),드라마,12세이상관람가,레오나르도 디카프리오,0,595,0,0,5926948
톰 후퍼,12,4,51,158,미국,유니버설픽쳐스인터내셔널 코리아(유),드라마,12세이상관람가,휴 잭맨,0,627,0,0,5911890
후안 안토니오 바요나,6,2,23,127,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,크리스 프랫,1,230,3703,0,5661128
김주환,8,3,32,108,한국,롯데쇼핑㈜롯데엔터테인먼트,액션,15세이상관람가,박서준,0,1429,16419,0,5636259
허정,8,3,33,107,한국,(주)넥스트엔터테인먼트월드(NEW),스릴러,15세이상관람가,손현주,0,682,0,0,5602543
허진호,8,3,31,126,한국,롯데쇼핑㈜롯데엔터테인먼트,사극,12세이상관람가,손예진,0,1857,20348,1,5593551
김병우,7,3,31,97,한국,롯데쇼핑㈜롯데엔터테인먼트,범죄,15세이상관람가,하정우,0,2051,0,0,5583596
콜린 트레보로우,6,2,24,124,미국,유니버설픽쳐스인터내셔널 코리아(유),액션,12세이상관람가,크리스 프랫,1,894,15462,0,5546792
라이언 플렉/애너 보든,3,1,10,123,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,브리 라슨,0,2160,2969,0,5540958
장훈,2,1,5,116,한국,(주)쇼박스,드라마,15세이상관람가,송강호,0,533,0,0,5507106
김병서/조의석,7,3,27,118,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,설경구,0,1098,0,0,5496547
페이튼 리드,7,3,27,118,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,폴 러드,1,202,1781,0,5447826
스콧 데릭슨,10,4,43,114,미국,월트디즈니컴퍼니코리아(주),액션,12세이상관람가,베네딕트 컴버배치,0,820,17810,0,5446379
장재현,11,4,45,108,한국,씨제이이앤엠(주),미스터리,15세이상관람가,김윤석,0,517,15918,0,5440945
김광식,9,3,38,135,한국,(주)넥스트엔터테인먼트월드(NEW),사극,12세이상관람가,이태진,0,607,2468,0,5440186
라이언 쿠글러,2,1,7,134,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,채드윅 보스만,1,388,7497,0,5398994
한재림,1,1,3,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,조인성,0,1086,17679,0,5316325
이한,10,4,42,107,한국,씨제이이앤엠(주),드라마,12세이상관람가,김윤석,0,725,0,1,5310510
마이클 베이,6,2,26,164,미국,씨제이이앤엠(주),액션,12세이상관람가,기타,1,3534,8008,0,5295801
이재규,10,4,44,115,한국,롯데컬처웍스(주)롯데엔터테인먼트,드라마,15세이상관람가,유해진,0,125,608,0,5294119
마크 포스터,6,2,25,115,미국,롯데쇼핑㈜롯데엔터테인먼트,드라마,15세이상관람가,브래드 피트,0,1001,0,1,5237525
김지훈,12,4,52,121,한국,씨제이이앤엠(주),드라마,12세이상관람가,설경구,0,1412,0,0,5181014
빌 콘돈,3,1,11,129,미국,월트디즈니컴퍼니코리아 유한책임회사,멜로,전체관람가,엠마 왓슨,0,199,8894,0,5137993
이해영,5,2,21,123,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,15세이상관람가,조진웅,0,265,2703,0,5063620
여인영,5,2,21,91,미국,씨제이이앤엠(주),애니메이션,전체관람가,더스틴 호프만,1,620,0,0,5062722
제임스 완,12,4,51,143,미국,워너브러더스 코리아(주),액션,12세이상관람가,제이슨 모모아,1,205,833,0,5038134
윤종빈,8,3,32,137,한국,씨제이이앤엠(주),드라마,12세이상관람가,황정민,0,254,2437,0,4971261
피트 닥터,7,3,28,101,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,다이안 레인,0,164,3102,0,4968687
매튜 본,9,3,39,140,미국,이십세기폭스코리아(주),액션,청소년관람불가,콜린 퍼스,,664,24898,0,4945484
김주호,8,3,32,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,12세이상관람가,차태현,0,128,0,0,4897551
리들리 스콧,10,4,41,142,미국,이십세기폭스코리아(주),액션,12세이상관람가,기타,0,617,6812,1,4875494
타이카 와이티티,10,4,43,130,미국,월트디즈니컴퍼니코리아 유한책임회사,액션,12세이상관람가,크리스 헴스워스,1,515,13239,0,4857152
마크 웹,6,2,26,136,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,액션,12세이상관람가,앤드류 가필드,1,1063,0,0,4853123
진모영,11,4,48,85,한국,CGV아트하우스,다큐멘터리,전체관람가,조병만,0,191,8651,0,4801355
김석윤,1,1,4,115,한국,(주)쇼박스,코미디,12세이상관람가,김명민,1,466,0,1,4786259
윤종빈,7,3,30,137,한국,(주)쇼박스,사극,15세이상관람가,하정우,0,1738,14319,0,4774895
윤종빈,2,1,5,133,한국,(주)쇼박스,범죄,청소년관람불가,최민식,0,227,0,0,4710454
리치 무어/바이론 하워드,2,1,7,108,미국,월트디즈니컴퍼니코리아(주),애니메이션,전체관람가,지니퍼 굿윈,,687,2474,0,4703245
더그 라이만,6,2,23,113,미국,워너브러더스 코리아(주),액션,12세이상관람가,톰 크루즈,1,365,2528,1,4697142
박훈정,2,1,8,134,한국,(주)넥스트엔터테인먼트월드(NEW),범죄,청소년관람불가,이정재,0,582,0,0,4682492
데이빗 예이츠,11,4,46,132,미국,워너브러더스 코리아(주),어드벤처,12세이상관람가,에디 레드메인,1,331,12840,1,4666993
황동혁,9,3,38,125,한국,씨제이이앤엠(주),드라마,청소년관람불가,정유미,0,644,0,1,4662822
민규동,5,2,20,121,한국,(주)넥스트엔터테인먼트월드(NEW),코미디,15세이상관람가,임수정,0,128,0,0,4598583
박정우,12,4,49,135,한국,(주)넥스트엔터테인먼트월드(NEW),드라마,12세이상관람가,김남길,0,732,8338,0,4571142
박정우,7,3,27,109,한국,씨제이이앤엠(주),공포,15세이상관람가,김명민,0,1075,0,0,4513026
존 파브로,4,2,17,125,미국,씨제이엔터테인먼트,SF,12세이상관람가,로버트 다우니 주니어,1,722,0,0,4498335
양우석,12,4,50,139,한국,(주)넥스트엔터테인먼트월드(NEW),액션,15세이상관람가,정우성,0,849,5965,0,4451336
